function,start_label,method,x1,x2,f(x*),iterations,f_calls,g_calls,h_calls,success,distance_to_exact_min,message
Rosenbrock,A,Nelder-Mead,0.9999999997885393,0.9999999995833184,4.860927570029672e-20,141,266,0,0,True,4.672677831692626e-10,Optimization terminated successfully.
Rosenbrock,A,CG,1.0000000024224478,1.0000000048568232,5.882480026320153e-18,35,88,87,0,True,5.4274289123030905e-09,Optimization terminated successfully.
Rosenbrock,A,Gradient Descent,0.03387825890335676,0.0006790649692693516,0.933413183913075,2889,3261,2889,0,True,1.3899760968485404,Gradient descent finished
Rosenbrock,A,Newton-CG,0.9999999979704984,0.9999999959328854,4.125456271474837e-18,57,72,72,57,True,4.5453600677810316e-09,Optimization terminated successfully.
Rosenbrock,B,Nelder-Mead,1.0000000001778244,1.0000000003600849,3.358934092216256e-20,144,266,0,0,True,4.0160008067963567e-10,Optimization terminated successfully.
Rosenbrock,B,CG,1.000000006479226,1.0000000129754163,4.2009148571390474e-17,23,57,57,0,True,1.450316511028946e-08,Optimization terminated successfully.
Rosenbrock,B,Gradient Descent,0.8035459882291803,0.6448041720738089,0.038671968164198586,2444,2504,2444,0,True,0.4059042435316755,Gradient descent finished
Rosenbrock,B,Newton-CG,0.9999999985674155,0.9999999971291053,2.0555767616529996e-18,31,36,36,31,True,3.208478606551411e-09,Optimization terminated successfully.
Rosenbrock,C,Nelder-Mead,0.9999999999928539,1.000000000013981,7.998823282303249e-20,105,197,0,0,True,1.570145325004962e-11,Optimization terminated successfully.
Rosenbrock,C,CG,0.9999999999980438,0.9999999999960811,3.830915631740854e-24,28,69,69,0,True,4.379985603938555e-12,Optimization terminated successfully.
Rosenbrock,C,Gradient Descent,1.1825736531684634,1.3991354455267548,0.03337604137824839,2369,2875,2369,0,True,0.4389102900446963,Gradient descent finished
Rosenbrock,C,Newton-CG,0.9999999999899646,0.9999999999798891,1.0087022623197863e-22,34,41,41,34,True,2.2475729404746798e-11,Optimization terminated successfully.
Himmelblau,A,Nelder-Mead,2.9999999999528484,1.9999999998007887,9.447713886779018e-19,116,225,0,0,True,2.0471546731063503e-10,Optimization terminated successfully.
Himmelblau,A,CG,2.999999999999945,1.999999999999983,1.3646110368965673e-25,11,26,26,0,True,5.766024270552917e-14,Optimization terminated successfully.
Himmelblau,A,Gradient Descent,2.9999999322579054,2.000000163543852,4.0290870276263997e-13,186,188,186,0,True,1.7701859461821752e-07,Gradient descent finished
Himmelblau,A,Newton-CG,2.9999999999998805,2.00000000000055,4.354755165978793e-24,9,13,13,9,True,5.62611255038559e-13,Optimization terminated successfully.
Himmelblau,B,Nelder-Mead,-2.805118087089645,3.1313125186124253,5.810346582147248e-18,75,142,0,0,True,5.258739907463363e-07,Optimization terminated successfully.
Himmelblau,B,CG,-2.80511808695319,3.1313125182500197,1.9069690019984794e-23,8,19,17,0,True,5.254939964785689e-07,Optimization terminated successfully.
Himmelblau,B,Gradient Descent,-2.805118110738342,3.131312520346338,1.8484355540050925e-14,50,52,50,0,True,5.319993344815195e-07,Gradient descent finished
Himmelblau,B,Newton-CG,-2.8051180869694488,3.131312518224473,3.702852621025778e-20,8,8,8,8,True,5.254714926492433e-07,Optimization terminated successfully.
Himmelblau,C,Nelder-Mead,3.5844283401012085,-1.848126526647643,3.721074651490514e-18,73,141,0,0,True,6.269183136375373e-07,Optimization terminated successfully.
Himmelblau,C,CG,2.9999999999781726,1.9999999999776634,3.586026693145227e-20,11,22,22,0,True,3.12307431789253e-11,Optimization terminated successfully.
Himmelblau,C,Gradient Descent,3.5844283517301334,-1.848126651863219,2.25647397791154e-13,141,143,141,0,True,7.40702195904381e-07,Gradient descent finished
Himmelblau,C,Newton-CG,3.5844283403309385,-1.848126526964366,1.059307114877108e-23,8,8,8,8,True,6.27309007518234e-07,Optimization terminated successfully.
Beale,A,Nelder-Mead,2.9999999997720623,0.4999999999476669,8.72057973641691e-21,91,176,0,0,True,2.3386819436339566e-10,Optimization terminated successfully.
Beale,A,CG,3.000000011082364,0.5000000027265544,1.9669167702389476e-17,27,66,66,0,True,1.1412838779028246e-08,Optimization terminated successfully.
Beale,A,Gradient Descent,2.7056100199870157,0.4163306209955416,0.019589356619575508,2379,2381,2379,0,True,0.3060490570399409,Gradient descent finished
Beale,A,Newton-CG,2.9999999999997073,0.4999999999999416,1.834015322977344e-26,15,15,15,15,True,2.9842439694527084e-13,Optimization terminated successfully.
Beale,B,Nelder-Mead,-311439.1664737656,1.0000031822085877,0.4520138285319435,3000,5508,0,0,False,311442.16647416697,Maximum number of iterations has been exceeded.
Beale,B,CG,-384.9212998997649,1.0025688072510175,0.45596947526755616,114,385,373,0,False,387.92162544943193,Desired error not necessarily achieved due to precision loss.
Beale,B,Gradient Descent,2.667276222533002,0.40382269373007695,0.02623097031943592,2416,2420,2416,0,True,0.3463454725173219,Gradient descent finished
Beale,B,Newton-CG,-201.38005790485147,1.0048997984775032,0.45957257924240413,133,235,235,133,True,204.38068155527066,Optimization terminated successfully.
Beale,C,Nelder-Mead,2.9999999997316853,0.4999999999385034,1.2108300337628374e-20,95,181,0,0,True,2.752718843430578e-10,Optimization terminated successfully.
Beale,C,CG,3.0000000000004214,0.5000000000002602,5.877560677185865e-25,14,37,37,0,True,4.953131836303731e-13,Optimization terminated successfully.
Beale,C,Gradient Descent,3.206286365229724,0.5471386750958224,0.005466078382002137,2145,2148,2145,0,True,0.21160368420583012,Gradient descent finished
Beale,C,Newton-CG,2.9999999946781077,0.49999999872170975,4.572796005059797e-18,13,15,15,13,True,5.473258919163853e-09,Optimization terminated successfully.
